BST               	      2000	    0.0540	    0.0280	    0.0060	    0.0600	    0.0980		1998	1000
BST               	      4000	    0.1450	    0.0970	    0.0020	    0.1040	    0.2100		3998	2000
BST               	      8000	    0.5990	    0.2870	    0.0010	    0.2670	    0.5690		7998	4000
BST               	     16000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	     32000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	     64000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	    128000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	    256000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	    512000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	   1024000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	   2048000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	   4096000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
BST               	   8192000	   -1.0000	   -1.0000	   -1.0000	   -1.0000	   -1.0000		-1	-1
RedBlackBST       	      2000	    0.0050	    0.0020	    0.0090	    0.0040	    0.0110		15	14
RedBlackBST       	      4000	    0.0050	    0.0030	    0.0070	    0.0020	    0.0100		16	15
RedBlackBST       	      8000	    0.0070	    0.0020	    0.0040	    0.0020	    0.0120		17	16
RedBlackBST       	     16000	    0.0150	    0.0040	    0.0040	    0.0050	    0.0270		18	17
RedBlackBST       	     32000	    0.0170	    0.0070	    0.0050	    0.0090	    0.0530		19	18
RedBlackBST       	     64000	    0.0340	    0.0150	    0.0030	    0.0160	    0.0680		20	19
RedBlackBST       	    128000	    0.0650	    0.0330	    0.0030	    0.0320	    0.1540		21	20
RedBlackBST       	    256000	    0.1110	    0.0550	    0.0020	    0.0640	    0.2850		22	21
RedBlackBST       	    512000	    0.2400	    0.1140	    0.0020	    0.1990	    0.7810		23	22
RedBlackBST       	   1024000	    0.6580	    0.2280	    0.0020	    0.2420	    1.4840		24	23
RedBlackBST       	   2048000	    1.3370	    0.5960	    0.0030	    0.4470	    2.9810		25	24
RedBlackBST       	   4096000	    2.7310	    1.0550	    0.0040	    1.2290	    6.7700		26	25
RedBlackBST       	   8192000	    5.0850	    2.0960	    0.0050	    2.9610	   15.5040		27	26
